timestamp,close,high,low,trade_count,open,volume,vwap,year,month,day,hour
2022-04-25 04:00:00+00:00,124.18,124.31,121.48,34495,122.23,2576307,122.880287,2022,4,25,4
2022-04-26 04:00:00+00:00,119.39,123.83,119.37,53392,123.42,2981173,121.074753,2022,4,26,4
2022-04-27 04:00:00+00:00,119.05,121.07,118.66,74538,119.63,4241604,119.689531,2022,4,27,4
2022-04-28 04:00:00+00:00,119.05,119.76,115.47,77294,119.44,4766461,117.918405,2022,4,28,4
2022-04-29 04:00:00+00:00,116.65,121.57,116.5,75566,119.07,4316760,118.817402,2022,4,29,4
2022-05-02 04:00:00+00:00,118.36,118.55,115.345,52681,116.2,3789726,117.12913,2022,5,2,4
2022-05-03 04:00:00+00:00,119.44,120.26,118.16,28325,118.74,2299297,119.446556,2022,5,3,4
2022-05-04 04:00:00+00:00,121.86,122.29,116.68,43802,120.02,3285854,119.251965,2022,5,4,4
2022-05-05 04:00:00+00:00,117.36,120.97,115.94,45982,120.97,3308731,117.996365,2022,5,5,4
2022-05-06 04:00:00+00:00,113.17,116.06,112.33,60209,115.77,4562919,113.429366,2022,5,6,4
2022-05-09 04:00:00+00:00,107.28,112.16,106.82,72326,111.5,4430104,108.950347,2022,5,9,4
2022-05-10 04:00:00+00:00,110.14,111.78,108.22,92358,110.11,6211848,110.181058,2022,5,10,4
2022-05-11 04:00:00+00:00,106.46,110.92,106.14,65374,108.695,4415623,108.345971,2022,5,11,4
2022-05-12 04:00:00+00:00,109.45,109.72,105.39,66236,105.46,4751394,108.201386,2022,5,12,4
2022-05-13 04:00:00+00:00,113.14,113.78,110.84,40153,110.84,3280477,112.810123,2022,5,13,4
2022-05-16 04:00:00+00:00,113.29,114.64,112.09,38748,112.91,3043610,113.546648,2022,5,16,4
2022-05-17 04:00:00+00:00,116.52,116.684,114.26,33026,114.86,2328387,115.791089,2022,5,17,4
2022-05-18 04:00:00+00:00,113.56,115.96,112.91,28793,114.52,2293354,114.141253,2022,5,18,4
2022-05-19 04:00:00+00:00,115.03,115.985,113.15,33332,113.4,2306935,114.742978,2022,5,19,4
2022-05-20 04:00:00+00:00,115.61,116.39,112.6,29673,116.23,1861279,114.493803,2022,5,20,4
2022-05-23 04:00:00+00:00,116.44,117.07,115.6101,32894,116.82,2221566,116.379193,2022,5,23,4
2022-05-24 04:00:00+00:00,114.58,115.9,113.51,30561,115.48,1823973,114.329849,2022,5,24,4
2022-05-25 04:00:00+00:00,114.77,115.37,113.1,33272,114.12,2077872,114.312406,2022,5,25,4
2022-05-26 04:00:00+00:00,115.8,116.34,114.76,33758,115.15,2114607,115.806498,2022,5,26,4
2022-05-27 04:00:00+00:00,119.5,119.5,115.36,33798,116.07,2225807,118.049507,2022,5,27,4
2022-05-31 04:00:00+00:00,116.67,118.97,115.6,41873,118.82,3370971,116.911229,2022,5,31,4
2022-06-01 04:00:00+00:00,115.44,118.24,114.03,27421,117.57,1763167,115.735341,2022,6,1,4
2022-06-02 04:00:00+00:00,116.36,116.36,113.13,29780,115.14,1973046,114.791445,2022,6,2,4
2022-06-03 04:00:00+00:00,116.5,117.57,115.23,27363,115.79,1767887,116.520131,2022,6,3,4
2022-06-06 04:00:00+00:00,115.24,117.76,114.58,28154,117.31,1544699,115.689385,2022,6,6,4
2022-06-07 04:00:00+00:00,117.83,117.98,114.34,28710,114.41,1619824,116.745226,2022,6,7,4
2022-06-08 04:00:00+00:00,118.13,119.67,117.35,24669,117.68,1290549,118.501482,2022,6,8,4
2022-06-09 04:00:00+00:00,113.98,117.69,113.9,30567,117.69,1579860,115.631901,2022,6,9,4
2022-06-10 04:00:00+00:00,110.48,112.27,109.72,38367,112.07,2260225,110.715479,2022,6,10,4
